Layer,Parameter,Weight
Layer 1382,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1382,Parameter 1,[0.4031271]
Layer 1382,Parameter 2,[[-0.68602014]]
Layer 1382,Parameter 3,[-0.6740458]
Layer 1383,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1383,Parameter 1,[0.4031271]
Layer 1383,Parameter 2,[[-0.68602014]]
Layer 1383,Parameter 3,[-0.6740458]
Layer 1384,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1384,Parameter 1,[0.4031271]
Layer 1384,Parameter 2,[[-0.68602014]]
Layer 1384,Parameter 3,[-0.6740458]
Layer 1385,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1385,Parameter 1,[0.4031271]
Layer 1385,Parameter 2,[[-0.68602014]]
Layer 1385,Parameter 3,[-0.6740458]
Layer 1386,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1386,Parameter 1,[0.4031271]
Layer 1386,Parameter 2,[[-0.68602014]]
Layer 1386,Parameter 3,[-0.6740458]
Layer 1387,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1387,Parameter 1,[0.4031271]
Layer 1387,Parameter 2,[[-0.68602014]]
Layer 1387,Parameter 3,[-0.6740458]
Layer 1388,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1388,Parameter 1,[0.4031271]
Layer 1388,Parameter 2,[[-0.68602014]]
Layer 1388,Parameter 3,[-0.6740458]
Layer 1389,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1389,Parameter 1,[0.4031271]
Layer 1389,Parameter 2,[[-0.68602014]]
Layer 1389,Parameter 3,[-0.6740458]
Layer 1390,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1390,Parameter 1,[0.4031271]
Layer 1390,Parameter 2,[[-0.68602014]]
Layer 1390,Parameter 3,[-0.6740458]
Layer 1391,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1391,Parameter 1,[0.4031271]
Layer 1391,Parameter 2,[[-0.68602014]]
Layer 1391,Parameter 3,[-0.6740458]
Layer 1392,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1392,Parameter 1,[0.4031271]
Layer 1392,Parameter 2,[[-0.68602014]]
Layer 1392,Parameter 3,[-0.6740458]
Layer 1393,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1393,Parameter 1,[0.4031271]
Layer 1393,Parameter 2,[[-0.68602014]]
Layer 1393,Parameter 3,[-0.6740458]
Layer 1394,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1394,Parameter 1,[0.4031271]
Layer 1394,Parameter 2,[[-0.68602014]]
Layer 1394,Parameter 3,[-0.6740458]
Layer 1395,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1395,Parameter 1,[0.4031271]
Layer 1395,Parameter 2,[[-0.68602014]]
Layer 1395,Parameter 3,[-0.6740458]
Layer 1396,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1396,Parameter 1,[0.4031271]
Layer 1396,Parameter 2,[[-0.68602014]]
Layer 1396,Parameter 3,[-0.6740458]
Layer 1397,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1397,Parameter 1,[0.4031271]
Layer 1397,Parameter 2,[[-0.68602014]]
Layer 1397,Parameter 3,[-0.6740458]
Layer 1398,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1398,Parameter 1,[0.4031271]
Layer 1398,Parameter 2,[[-0.68602014]]
Layer 1398,Parameter 3,[-0.6740458]
Layer 1399,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1399,Parameter 1,[0.4031271]
Layer 1399,Parameter 2,[[-0.68602014]]
Layer 1399,Parameter 3,[-0.6740458]
Layer 1400,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1400,Parameter 1,[0.4031271]
Layer 1400,Parameter 2,[[-0.68602014]]
Layer 1400,Parameter 3,[-0.6740458]
Layer 1401,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1401,Parameter 1,[0.4031271]
Layer 1401,Parameter 2,[[-0.68602014]]
Layer 1401,Parameter 3,[-0.6740458]
Layer 1402,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1402,Parameter 1,[0.4031271]
Layer 1402,Parameter 2,[[-0.68602014]]
Layer 1402,Parameter 3,[-0.6740458]
Layer 1403,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1403,Parameter 1,[0.4031271]
Layer 1403,Parameter 2,[[-0.68602014]]
Layer 1403,Parameter 3,[-0.6740458]
Layer 1404,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1404,Parameter 1,[0.4031271]
Layer 1404,Parameter 2,[[-0.68602014]]
Layer 1404,Parameter 3,[-0.6740458]
Layer 1405,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1405,Parameter 1,[0.4031271]
Layer 1405,Parameter 2,[[-0.68602014]]
Layer 1405,Parameter 3,[-0.6740458]
Layer 1406,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1406,Parameter 1,[0.4031271]
Layer 1406,Parameter 2,[[-0.68602014]]
Layer 1406,Parameter 3,[-0.6740458]
Layer 1407,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1407,Parameter 1,[0.4031271]
Layer 1407,Parameter 2,[[-0.68602014]]
Layer 1407,Parameter 3,[-0.6740458]
Layer 1408,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1408,Parameter 1,[0.4031271]
Layer 1408,Parameter 2,[[-0.68602014]]
Layer 1408,Parameter 3,[-0.6740458]
Layer 1409,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1409,Parameter 1,[0.4031271]
Layer 1409,Parameter 2,[[-0.68602014]]
Layer 1409,Parameter 3,[-0.6740458]
Layer 1410,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1410,Parameter 1,[0.4031271]
Layer 1410,Parameter 2,[[-0.68602014]]
Layer 1410,Parameter 3,[-0.6740458]
Layer 1411,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1411,Parameter 1,[0.4031271]
Layer 1411,Parameter 2,[[-0.68602014]]
Layer 1411,Parameter 3,[-0.6740458]
Layer 1412,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1412,Parameter 1,[0.4031271]
Layer 1412,Parameter 2,[[-0.68602014]]
Layer 1412,Parameter 3,[-0.6740458]
Layer 1413,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1413,Parameter 1,[0.4031271]
Layer 1413,Parameter 2,[[-0.68602014]]
Layer 1413,Parameter 3,[-0.6740458]
Layer 1414,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1414,Parameter 1,[0.4031271]
Layer 1414,Parameter 2,[[-0.68602014]]
Layer 1414,Parameter 3,[-0.6740458]
Layer 1415,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1415,Parameter 1,[0.4031271]
Layer 1415,Parameter 2,[[-0.68602014]]
Layer 1415,Parameter 3,[-0.6740458]
Layer 1416,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1416,Parameter 1,[0.4031271]
Layer 1416,Parameter 2,[[-0.68602014]]
Layer 1416,Parameter 3,[-0.6740458]
Layer 1417,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1417,Parameter 1,[0.4031271]
Layer 1417,Parameter 2,[[-0.68602014]]
Layer 1417,Parameter 3,[-0.6740458]
Layer 1418,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1418,Parameter 1,[0.4031271]
Layer 1418,Parameter 2,[[-0.68602014]]
Layer 1418,Parameter 3,[-0.6740458]
Layer 1419,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1419,Parameter 1,[0.4031271]
Layer 1419,Parameter 2,[[-0.68602014]]
Layer 1419,Parameter 3,[-0.6740458]
Layer 1420,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1420,Parameter 1,[0.4031271]
Layer 1420,Parameter 2,[[-0.68602014]]
Layer 1420,Parameter 3,[-0.6740458]
Layer 1421,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1421,Parameter 1,[0.4031271]
Layer 1421,Parameter 2,[[-0.68602014]]
Layer 1421,Parameter 3,[-0.6740458]
Layer 1422,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1422,Parameter 1,[0.4031271]
Layer 1422,Parameter 2,[[-0.68602014]]
Layer 1422,Parameter 3,[-0.6740458]
Layer 1423,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1423,Parameter 1,[0.4031271]
Layer 1423,Parameter 2,[[-0.68602014]]
Layer 1423,Parameter 3,[-0.6740458]
Layer 1424,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1424,Parameter 1,[0.4031271]
Layer 1424,Parameter 2,[[-0.68602014]]
Layer 1424,Parameter 3,[-0.6740458]
Layer 1425,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1425,Parameter 1,[0.4031271]
Layer 1425,Parameter 2,[[-0.68602014]]
Layer 1425,Parameter 3,[-0.6740458]
Layer 1426,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1426,Parameter 1,[0.4031271]
Layer 1426,Parameter 2,[[-0.68602014]]
Layer 1426,Parameter 3,[-0.6740458]
Layer 1427,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1427,Parameter 1,[0.4031271]
Layer 1427,Parameter 2,[[-0.68602014]]
Layer 1427,Parameter 3,[-0.6740458]
Layer 1428,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1428,Parameter 1,[0.4031271]
Layer 1428,Parameter 2,[[-0.68602014]]
Layer 1428,Parameter 3,[-0.6740458]
Layer 1429,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1429,Parameter 1,[0.4031271]
Layer 1429,Parameter 2,[[-0.68602014]]
Layer 1429,Parameter 3,[-0.6740458]
Layer 1430,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1430,Parameter 1,[0.4031271]
Layer 1430,Parameter 2,[[-0.68602014]]
Layer 1430,Parameter 3,[-0.6740458]
Layer 1431,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1431,Parameter 1,[0.4031271]
Layer 1431,Parameter 2,[[-0.68602014]]
Layer 1431,Parameter 3,[-0.6740458]
Layer 1432,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1432,Parameter 1,[0.4031271]
Layer 1432,Parameter 2,[[-0.68602014]]
Layer 1432,Parameter 3,[-0.6740458]
Layer 1433,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1433,Parameter 1,[0.4031271]
Layer 1433,Parameter 2,[[-0.68602014]]
Layer 1433,Parameter 3,[-0.6740458]
Layer 1434,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1434,Parameter 1,[0.4031271]
Layer 1434,Parameter 2,[[-0.68602014]]
Layer 1434,Parameter 3,[-0.6740458]
Layer 1435,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1435,Parameter 1,[0.4031271]
Layer 1435,Parameter 2,[[-0.68602014]]
Layer 1435,Parameter 3,[-0.6740458]
Layer 1436,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1436,Parameter 1,[0.4031271]
Layer 1436,Parameter 2,[[-0.68602014]]
Layer 1436,Parameter 3,[-0.6740458]
Layer 1437,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1437,Parameter 1,[0.4031271]
Layer 1437,Parameter 2,[[-0.68602014]]
Layer 1437,Parameter 3,[-0.6740458]
Layer 1438,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1438,Parameter 1,[0.4031271]
Layer 1438,Parameter 2,[[-0.68602014]]
Layer 1438,Parameter 3,[-0.6740458]
Layer 1439,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1439,Parameter 1,[0.4031271]
Layer 1439,Parameter 2,[[-0.68602014]]
Layer 1439,Parameter 3,[-0.6740458]
Layer 1440,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1440,Parameter 1,[0.4031271]
Layer 1440,Parameter 2,[[-0.68602014]]
Layer 1440,Parameter 3,[-0.6740458]
Layer 1441,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1441,Parameter 1,[0.4031271]
Layer 1441,Parameter 2,[[-0.68602014]]
Layer 1441,Parameter 3,[-0.6740458]
Layer 1442,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1442,Parameter 1,[0.4031271]
Layer 1442,Parameter 2,[[-0.68602014]]
Layer 1442,Parameter 3,[-0.6740458]
Layer 1443,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1443,Parameter 1,[0.4031271]
Layer 1443,Parameter 2,[[-0.68602014]]
Layer 1443,Parameter 3,[-0.6740458]
Layer 1444,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1444,Parameter 1,[0.4031271]
Layer 1444,Parameter 2,[[-0.68602014]]
Layer 1444,Parameter 3,[-0.6740458]
Layer 1445,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1445,Parameter 1,[0.4031271]
Layer 1445,Parameter 2,[[-0.68602014]]
Layer 1445,Parameter 3,[-0.6740458]
Layer 1446,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1446,Parameter 1,[0.4031271]
Layer 1446,Parameter 2,[[-0.68602014]]
Layer 1446,Parameter 3,[-0.6740458]
Layer 1447,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1447,Parameter 1,[0.4031271]
Layer 1447,Parameter 2,[[-0.68602014]]
Layer 1447,Parameter 3,[-0.6740458]
Layer 1448,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1448,Parameter 1,[0.4031271]
Layer 1448,Parameter 2,[[-0.68602014]]
Layer 1448,Parameter 3,[-0.6740458]
Layer 1449,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1449,Parameter 1,[0.4031271]
Layer 1449,Parameter 2,[[-0.68602014]]
Layer 1449,Parameter 3,[-0.6740458]
Layer 1450,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1450,Parameter 1,[0.4031271]
Layer 1450,Parameter 2,[[-0.68602014]]
Layer 1450,Parameter 3,[-0.6740458]
Layer 1451,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1451,Parameter 1,[0.4031271]
Layer 1451,Parameter 2,[[-0.68602014]]
Layer 1451,Parameter 3,[-0.6740458]
Layer 1452,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1452,Parameter 1,[0.4031271]
Layer 1452,Parameter 2,[[-0.68602014]]
Layer 1452,Parameter 3,[-0.6740458]
Layer 1453,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1453,Parameter 1,[0.4031271]
Layer 1453,Parameter 2,[[-0.68602014]]
Layer 1453,Parameter 3,[-0.6740458]
Layer 1454,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1454,Parameter 1,[0.4031271]
Layer 1454,Parameter 2,[[-0.68602014]]
Layer 1454,Parameter 3,[-0.6740458]
Layer 1455,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1455,Parameter 1,[0.4031271]
Layer 1455,Parameter 2,[[-0.68602014]]
Layer 1455,Parameter 3,[-0.6740458]
Layer 1456,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1456,Parameter 1,[0.4031271]
Layer 1456,Parameter 2,[[-0.68602014]]
Layer 1456,Parameter 3,[-0.6740458]
Layer 1457,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1457,Parameter 1,[0.4031271]
Layer 1457,Parameter 2,[[-0.68602014]]
Layer 1457,Parameter 3,[-0.6740458]
Layer 1458,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1458,Parameter 1,[0.4031271]
Layer 1458,Parameter 2,[[-0.68602014]]
Layer 1458,Parameter 3,[-0.6740458]
Layer 1459,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1459,Parameter 1,[0.4031271]
Layer 1459,Parameter 2,[[-0.68602014]]
Layer 1459,Parameter 3,[-0.6740458]
Layer 1460,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1460,Parameter 1,[0.4031271]
Layer 1460,Parameter 2,[[-0.68602014]]
Layer 1460,Parameter 3,[-0.6740458]
Layer 1461,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1461,Parameter 1,[0.4031271]
Layer 1461,Parameter 2,[[-0.68602014]]
Layer 1461,Parameter 3,[-0.6740458]
Layer 1462,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1462,Parameter 1,[0.4031271]
Layer 1462,Parameter 2,[[-0.68602014]]
Layer 1462,Parameter 3,[-0.6740458]
Layer 1463,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1463,Parameter 1,[0.4031271]
Layer 1463,Parameter 2,[[-0.68602014]]
Layer 1463,Parameter 3,[-0.6740458]
Layer 1464,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1464,Parameter 1,[0.4031271]
Layer 1464,Parameter 2,[[-0.68602014]]
Layer 1464,Parameter 3,[-0.6740458]
Layer 1465,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1465,Parameter 1,[0.4031271]
Layer 1465,Parameter 2,[[-0.68602014]]
Layer 1465,Parameter 3,[-0.6740458]
Layer 1466,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1466,Parameter 1,[0.4031271]
Layer 1466,Parameter 2,[[-0.68602014]]
Layer 1466,Parameter 3,[-0.6740458]
Layer 1467,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1467,Parameter 1,[0.4031271]
Layer 1467,Parameter 2,[[-0.68602014]]
Layer 1467,Parameter 3,[-0.6740458]
Layer 1468,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1468,Parameter 1,[0.4031271]
Layer 1468,Parameter 2,[[-0.68602014]]
Layer 1468,Parameter 3,[-0.6740458]
Layer 1469,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1469,Parameter 1,[0.4031271]
Layer 1469,Parameter 2,[[-0.68602014]]
Layer 1469,Parameter 3,[-0.6740458]
Layer 1470,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1470,Parameter 1,[0.4031271]
Layer 1470,Parameter 2,[[-0.68602014]]
Layer 1470,Parameter 3,[-0.6740458]
Layer 1471,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1471,Parameter 1,[0.4031271]
Layer 1471,Parameter 2,[[-0.68602014]]
Layer 1471,Parameter 3,[-0.6740458]
Layer 1472,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1472,Parameter 1,[0.4031271]
Layer 1472,Parameter 2,[[-0.68602014]]
Layer 1472,Parameter 3,[-0.6740458]
Layer 1473,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1473,Parameter 1,[0.4031271]
Layer 1473,Parameter 2,[[-0.68602014]]
Layer 1473,Parameter 3,[-0.6740458]
Layer 1474,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1474,Parameter 1,[0.4031271]
Layer 1474,Parameter 2,[[-0.68602014]]
Layer 1474,Parameter 3,[-0.6740458]
Layer 1475,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1475,Parameter 1,[0.4031271]
Layer 1475,Parameter 2,[[-0.68602014]]
Layer 1475,Parameter 3,[-0.6740458]
Layer 1476,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1476,Parameter 1,[0.4031271]
Layer 1476,Parameter 2,[[-0.68602014]]
Layer 1476,Parameter 3,[-0.6740458]
Layer 1477,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1477,Parameter 1,[0.4031271]
Layer 1477,Parameter 2,[[-0.68602014]]
Layer 1477,Parameter 3,[-0.6740458]
Layer 1478,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1478,Parameter 1,[0.4031271]
Layer 1478,Parameter 2,[[-0.68602014]]
Layer 1478,Parameter 3,[-0.6740458]
Layer 1479,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1479,Parameter 1,[0.4031271]
Layer 1479,Parameter 2,[[-0.68602014]]
Layer 1479,Parameter 3,[-0.6740458]
Layer 1480,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1480,Parameter 1,[0.4031271]
Layer 1480,Parameter 2,[[-0.68602014]]
Layer 1480,Parameter 3,[-0.6740458]
Layer 1481,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1481,Parameter 1,[0.4031271]
Layer 1481,Parameter 2,[[-0.68602014]]
Layer 1481,Parameter 3,[-0.6740458]
Layer 1482,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1482,Parameter 1,[0.4031271]
Layer 1482,Parameter 2,[[-0.68602014]]
Layer 1482,Parameter 3,[-0.6740458]
Layer 1483,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1483,Parameter 1,[0.4031271]
Layer 1483,Parameter 2,[[-0.68602014]]
Layer 1483,Parameter 3,[-0.6740458]
Layer 1484,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1484,Parameter 1,[0.4031271]
Layer 1484,Parameter 2,[[-0.68602014]]
Layer 1484,Parameter 3,[-0.6740458]
Layer 1485,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1485,Parameter 1,[0.4031271]
Layer 1485,Parameter 2,[[-0.68602014]]
Layer 1485,Parameter 3,[-0.6740458]
Layer 1486,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1486,Parameter 1,[0.4031271]
Layer 1486,Parameter 2,[[-0.68602014]]
Layer 1486,Parameter 3,[-0.6740458]
Layer 1487,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1487,Parameter 1,[0.4031271]
Layer 1487,Parameter 2,[[-0.68602014]]
Layer 1487,Parameter 3,[-0.6740458]
Layer 1488,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1488,Parameter 1,[0.4031271]
Layer 1488,Parameter 2,[[-0.68602014]]
Layer 1488,Parameter 3,[-0.6740458]
Layer 1489,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1489,Parameter 1,[0.4031271]
Layer 1489,Parameter 2,[[-0.68602014]]
Layer 1489,Parameter 3,[-0.6740458]
Layer 1490,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1490,Parameter 1,[0.4031271]
Layer 1490,Parameter 2,[[-0.68602014]]
Layer 1490,Parameter 3,[-0.6740458]
Layer 1491,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1491,Parameter 1,[0.4031271]
Layer 1491,Parameter 2,[[-0.68602014]]
Layer 1491,Parameter 3,[-0.6740458]
Layer 1492,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1492,Parameter 1,[0.4031271]
Layer 1492,Parameter 2,[[-0.68602014]]
Layer 1492,Parameter 3,[-0.6740458]
Layer 1493,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1493,Parameter 1,[0.4031271]
Layer 1493,Parameter 2,[[-0.68602014]]
Layer 1493,Parameter 3,[-0.6740458]
Layer 1494,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1494,Parameter 1,[0.4031271]
Layer 1494,Parameter 2,[[-0.68602014]]
Layer 1494,Parameter 3,[-0.6740458]
Layer 1495,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1495,Parameter 1,[0.4031271]
Layer 1495,Parameter 2,[[-0.68602014]]
Layer 1495,Parameter 3,[-0.6740458]
Layer 1496,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1496,Parameter 1,[0.4031271]
Layer 1496,Parameter 2,[[-0.68602014]]
Layer 1496,Parameter 3,[-0.6740458]
Layer 1497,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1497,Parameter 1,[0.4031271]
Layer 1497,Parameter 2,[[-0.68602014]]
Layer 1497,Parameter 3,[-0.6740458]
Layer 1498,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1498,Parameter 1,[0.4031271]
Layer 1498,Parameter 2,[[-0.68602014]]
Layer 1498,Parameter 3,[-0.6740458]
Layer 1499,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1499,Parameter 1,[0.4031271]
Layer 1499,Parameter 2,[[-0.68602014]]
Layer 1499,Parameter 3,[-0.6740458]
Layer 1500,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1500,Parameter 1,[0.4031271]
Layer 1500,Parameter 2,[[-0.68602014]]
Layer 1500,Parameter 3,[-0.6740458]
Layer 1501,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1501,Parameter 1,[0.4031271]
Layer 1501,Parameter 2,[[-0.68602014]]
Layer 1501,Parameter 3,[-0.6740458]
Layer 1502,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1502,Parameter 1,[0.4031271]
Layer 1502,Parameter 2,[[-0.68602014]]
Layer 1502,Parameter 3,[-0.6740458]
Layer 1503,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1503,Parameter 1,[0.4031271]
Layer 1503,Parameter 2,[[-0.68602014]]
Layer 1503,Parameter 3,[-0.6740458]
Layer 1504,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1504,Parameter 1,[0.4031271]
Layer 1504,Parameter 2,[[-0.68602014]]
Layer 1504,Parameter 3,[-0.6740458]
Layer 1505,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1505,Parameter 1,[0.4031271]
Layer 1505,Parameter 2,[[-0.68602014]]
Layer 1505,Parameter 3,[-0.6740458]
Layer 1506,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1506,Parameter 1,[0.4031271]
Layer 1506,Parameter 2,[[-0.68602014]]
Layer 1506,Parameter 3,[-0.6740458]
Layer 1507,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1507,Parameter 1,[0.4031271]
Layer 1507,Parameter 2,[[-0.68602014]]
Layer 1507,Parameter 3,[-0.6740458]
Layer 1508,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1508,Parameter 1,[0.4031271]
Layer 1508,Parameter 2,[[-0.68602014]]
Layer 1508,Parameter 3,[-0.6740458]
Layer 1509,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1509,Parameter 1,[0.4031271]
Layer 1509,Parameter 2,[[-0.68602014]]
Layer 1509,Parameter 3,[-0.6740458]
Layer 1510,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1510,Parameter 1,[0.4031271]
Layer 1510,Parameter 2,[[-0.68602014]]
Layer 1510,Parameter 3,[-0.6740458]
Layer 1511,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1511,Parameter 1,[0.4031271]
Layer 1511,Parameter 2,[[-0.68602014]]
Layer 1511,Parameter 3,[-0.6740458]
Layer 1512,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1512,Parameter 1,[0.4031271]
Layer 1512,Parameter 2,[[-0.68602014]]
Layer 1512,Parameter 3,[-0.6740458]
Layer 1513,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1513,Parameter 1,[0.4031271]
Layer 1513,Parameter 2,[[-0.68602014]]
Layer 1513,Parameter 3,[-0.6740458]
Layer 1514,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1514,Parameter 1,[0.4031271]
Layer 1514,Parameter 2,[[-0.68602014]]
Layer 1514,Parameter 3,[-0.6740458]
Layer 1515,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1515,Parameter 1,[0.4031271]
Layer 1515,Parameter 2,[[-0.68602014]]
Layer 1515,Parameter 3,[-0.6740458]
Layer 1516,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1516,Parameter 1,[0.4031271]
Layer 1516,Parameter 2,[[-0.68602014]]
Layer 1516,Parameter 3,[-0.6740458]
Layer 1517,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1517,Parameter 1,[0.4031271]
Layer 1517,Parameter 2,[[-0.68602014]]
